id;fullname
28;Dan Brown
29;Jeff Dunn
30;John Helfers
31;D. M. Brown
32;
33;Books, LLC
34;Trivion Books
35;Deborah Parker
36;Simon Cox
37;Betsy Eble
38;Tim Collins
39;Laura Gates Galvin
40;Garry Williams
41;Bishoy (Metropolitan of Damiette)
42;Greg Taylor
43;Dan Burstein
44;Joachim Körber
45;Dan M. Brown
46;Lisa Rogak
47;Books Llc
48;Rosa Giorgi
49;Peter Kreeft
50;Michael Patella
51;Lon Milo Duquette
52;Angela K. Nickerson
53;Tony Evans
54;
55;H. Wayne House
56;Peter G. Riddell
57;Craig Kyle
58;Don Little
59;Ron Phillips
60;Gordon James Klingenschmitt
61;Dr. M. June Craig
62;Emma Bowes-Romanelli
63;Susie Pilkington-Wood
64;Naming Ceremony Gallery
65;Fernando Cervantes
66;Christopher I. Lehrich
67;Kenneth D. Boa
68;Ronald H. Isaacs
69;Nader Q.
70;פיליפ ווקוסבוביץ
71;Carol K. Mack
72;Kathleen Ferraro
73;Benny Hinn
74;Gary Ludwig
75;John Hagee
76;C. J. McKenzie
77;Etienne M. Graves Jr.
78;J Den Boeft
79;Martin Buber
80;R. C. Sproul
81;Ananda M. Pandiri
82;M. K. Gandhi
83;Bidyut Chakrabarty
84;Richard L. Deats
85;Mahatma Gandhi
86;K.L. Seshagiri Rao
87;Douglas Allen
88;Jafar Maḥmūd
89;Arthur Kemp
90;April Carter
91;Mazhar Kibriya
92;Sukhendu Mazumder
93;Bertrand Jouvenot
94;Shanti Swarup Gupta
95;Ratana Dāsa
96;Prof. Prasoon
97;Dennis Dalton
98;M. Maharajan
99;Vidya Jain
100;Stanley A. Wolpert
101;Anil Dutta Mishra
102;Nandana Dutta
103;Christine Hatt
104;
105;David Cortright
106;Ronald Bontekoe
107;Mundackal Paulose Mathai
108;Charles F. Andrews
109;Mohandas Karamchand Gandhi
110;Gandhi (Mahatma)
111;Sean Scalmer
112;Basdeo Bissoondoyal
113;Mohandas Gandhi
114;Bhabani Bhattacharya
115;Subrata Mukherjee
116;William Shakespeare
117;Victor Hugo
118;Samuel Schoenbaum
119;Lois Potter
120;David Hilliam
121;Pamela Hill Nettleton
122;Lois Burdett
123;Michael Feingold
124;Maria L. Howell
125;Robert Shaughnessy
126;Charles Lamb
127;Richard Hillman
128;Alexander Leggatt
129;Carol Dommermuth-Costa
130;Aidan Coleman
131;Terry Eagleton
132;Harold Bloom
133;
134;Joseph Quincy Adams
135;
136;George Orwell
137;John Rodden
138;Kit Reed
139;Jeffrey Meyers
140;Andrei Reznikov
141;Adibur Rahman
142;Stephen Ingle
143;Raymond Williams
144;Dr Loraine Saunders
145;Tom Hopkinson
146;Peter Hall
147;Robert Plank
148;Gale, Cengage Learning
149;Richard Joseph Voorhees
150;Glenda Smith
151;Mitzi Brunsdale
152;Arun Joshi
153;Tosco R. Fyvel
154;Caroline Korf
155;David Ball
156;Swantje We
157;Tanya Agathocleous
158;Robert Colls
159;Herbert George Wells
160;John Batchelor
161;H. G. Wells
162;Robert Crossley
163;Frank D. McConnell
164;W. Warren Wagar
165;Patrick Parrinder
166;Keith Williams
167;Vincent Brome
168;Kay Mankus
169;Bernard Shaw
170;Pauline Francis
171;H.G. Wells
172;John R. Hammond
173;Gene K. Rinkel
174;William T. Ross
175;Peter Edgerly Firchow
176;Michael Draper
177;Brian Murray
178;John Huntington
179;Robert Thurston Hopkins
180;EPUB 2-3
181;Sri Kaiwara Gopinath
182;Ernest Hemingway
183;Larry W. Phillips
184;Debra A. Moddelmog
185;Lisa Tyler
186;Linda Wagner-Martin
187;Robert O. Stephens
188;Satyabrata Das
189;Arthur Waldhorn
190;Mark Cirino
191;Jackson J. Benson
192;Kevin Alexander Boon
193;Philip Young
194;Debra Moddelmog
195;Dumas,
196;Attributed to Alexander Dumas Pere
197;Dumas
198;Countess of Monte-Cristo
199;Alexandre 1802-1870 Le Comte De Dumas
200;James DeVita
201;Alexandre Dumas
202;Alexander Dumas
203;Fitzgerald Percy Hetherington
204;Giuseppe Garibaldi
205;Eric Martone
206;Joseph Le Fanu
207;Andrews Norton
208;
209;William Saroyan
210;
211;afterwards KNOBLOCK KNOBLAUCH (Edward)
212;Charles Folsom
213;
214;Montgomery Ward &. Co
215;Joseph Cox
216;Montgomery Ward
217;John G. Gallaher
218;Philippe Quinault
219;John Milton
220;Margaret Kean
221;Gordon Campbell
222;Gerald J. Schiffhorst
223;Roy Flannagan
224;Barbara K. Lewalski
225;Richard Bradford
226;David Masson
227;John T. Shawcross
228;Anna K. Nardo
229;David M. Miller
230;John Toland
231;Marjorie Hope Nicolson
232;Walter S. H. Lim
233;John Martin Evans
234;Kristin A. Pruitt
235;Richard Garnett
236;Daniel Defoe
237;Paula R. Backscheider
238;John Richetti
239;James Joyce
240;Robert James Merrett
241;Maximillian E. Novak
242;William James Roosen
243;Leo Abse
244;Defoe
245;William Lee (inspector, gen. board of health)
246;Francis Watson
247;Walter Wilson
248;Pat Rogers
249;William Minto
250;George Chalmers
251;John Kenneth Galbraith
252;Conrad Waligorski
253;Stephen P. Dunn
254;James Ronald Stanfield
255;STEVEN PRESSMAN
256;John Saké Gambs
257;Charles Henry Hession
258;Helen Sasson
259;Michael Keaney
260;James K. Galbraith
261;Jacqueline Duhême
262;Richard Parker
263;Kenneth Galbraith
264;Mary Ann Evans
265;George Eliot
266;Gerlinde Röder-Bolton
267;Kathryn Hughes
268;Tim Dolin
269;Michael Davis
