id;google_id;json_volume;previewlink;title;author_id;author_name;publisher;publisherdate;description;categories;pages;rating;language;image
88;oIRClVXxXxcC;https://www.googleapis.com/books/v1/volumes/oIRClVXxXxcC;http://books.google.com/books?id=oIRClVXxXxcC&printsec=frontcover&dq=Angels+and+Demons&hl=&cd=13&source=gbs_api;X-Force Vol. 1;57;Craig Kyle;Marvel Entertainment;2009-01-28;There are lines that the X-Men have sworn never to cross. But after the shocking events of Messiah CompleX, Cyclops realizes that some enemies need to be dealt with permanently - and the X-Men can never know about it! Enter Wolverine, Warpath, X-23, and Wolfsbane - X-Force! Collects X-Force (2008) #1-6.;"{""Comics & Graphic Novels""}";144;4.5;en;http://books.google.com/books/content?id=oIRClVXxXxcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
89;GXznEnKwTdAC;https://www.googleapis.com/books/v1/volumes/GXznEnKwTdAC;http://books.google.com/books?id=GXznEnKwTdAC&pg=PA480&dq=Angels+and+Demons&hl=&cd=14&source=gbs_api;Angels & Demons - Movie Tie-In;28;Dan Brown;Simon and Schuster;2009-03-31;The murder of a world-famous physicist raises fear that the Illuminati are operating again after centuries of silence, and religion professor Robert Langdon is called in to assist with the case. By the author of Digital Fortress. Reprint.;{Fiction};496;4.5;en;http://books.google.com/books/content?id=GXznEnKwTdAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
90;w1y9AzctXscC;https://www.googleapis.com/books/v1/volumes/w1y9AzctXscC;http://books.google.com/books?id=w1y9AzctXscC&pg=PA145&dq=Angels+and+Demons&hl=&cd=15&source=gbs_api;Spirits, Angels, Demons, and Gods;58;Don Little;Dorrance Publishing;2010-02-16;;{Religion};532;;en;http://books.google.com/books/content?id=w1y9AzctXscC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
91;-66XBgAAQBAJ;https://www.googleapis.com/books/v1/volumes/-66XBgAAQBAJ;http://books.google.com/books?id=-66XBgAAQBAJ&pg=PA95&dq=Angels+and+Demons&hl=&cd=16&source=gbs_api;Angels and Demons;59;Ron Phillips;Charisma Media;2015-04-07;OPEN YOUR EYES to a WHOLE NEW WORLD Beyond our normal senses there lies another dimension more real and lasting than anything we can imagine. It is a world populated by both angels and demons, and it is essential that we understand it. In Angels and Demons Ron Phillips brings you a definitive guide to these supernatural beings, providing a basic training manual in the war between good and evil. We are not powerless against the forces of darkness, but to survive we must know both our allies and our real enemies. Divided into two parts for easy understanding, sections include: ANGELS * Where they originated * How they operate * How they are activated DEMONS * Tracing their history * Understanding their dynasty * Enforcing and maintaining the victory over them;{Religion};288;;en;http://books.google.com/books/content?id=-66XBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
92;tE9JAwAAQBAJ;https://www.googleapis.com/books/v1/volumes/tE9JAwAAQBAJ;http://books.google.com/books?id=tE9JAwAAQBAJ&pg=PT97&dq=Angels+and+Demons&hl=&cd=17&source=gbs_api;How to See the Holy Spirit, Angels, and Demons;60;Gordon James Klingenschmitt;Wipf and Stock Publishers;2013-12-01;"Are God, angels, and demons really invisible? Or can the spirits be seen with human eyes, through the lens of Church Ethics? The gift of discerning of spirits is indispensible to the study of church ethics. Ignatius of Loyola, founder of the Society of Jesus (Jesuits), wrote two sets of Rules for Discerning of Spirits in his Spiritual Exercises in the early 1500s. He taught how the church can receive from God the gift to see otherwise invisible angels, demons, and the Holy Spirit. Ignatius' views were influenced by John Cassian, Jacobus de Voragine, Ludolph of Saxony, and Thomas a Kempis. Ignatius' Rules are exegeted in dialogue with contemporary scholars Karl Rahner, Hugo Rahner, Piet Penning de Vries, Jules Toner, and Timothy Gallagher, and applied to one study of ecclesial ethics in the narrative theology of Samuel Wells. A four-step Ignatian ""pneumato-ethical method"" is developed, which any analyst can follow to see the spirits, by consolation/desolation, consent, manifestation, and pneumato-ethics. This method revolutionizes how we study ecclesiology, soteriology, missiology/world religions, liturgy, worship, Eucharist, hermeneutics, homiletics, pastoral counseling, church history, and politics. The spirits are not invisible at all. They can be clearly discerned through the lens of ecclesial ethics.";{Religion};290;;en;http://books.google.com/books/content?id=tE9JAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
93;ENRoOFpfF9kC;https://www.googleapis.com/books/v1/volumes/ENRoOFpfF9kC;http://books.google.com/books?id=ENRoOFpfF9kC&pg=PT20&dq=Angels+and+Demons&hl=&cd=18&source=gbs_api;When Angels Cook, Demons Stew: The Warfare of Angels and Demons;61;Dr. M. June Craig;PublishAmerica;;;{};;;en;http://books.google.com/books/content?id=ENRoOFpfF9kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
94;9u1qqCCgCKAC;https://www.googleapis.com/books/v1/volumes/9u1qqCCgCKAC;http://books.google.com/books?id=9u1qqCCgCKAC&pg=PA105&dq=Angels+and+Demons&hl=&cd=19&source=gbs_api;Between Angels & Demons;62;Emma Bowes-Romanelli;Next Century Books Limited;2004-09;;{Leukemia};22;;en;http://books.google.com/books/content?id=9u1qqCCgCKAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
95;eKW5wyHzrUsC;https://www.googleapis.com/books/v1/volumes/eKW5wyHzrUsC;http://books.google.com/books?id=eKW5wyHzrUsC&pg=PA168&dq=Angels+and+Demons&hl=&cd=20&source=gbs_api;Colandra's Crusade - Angels and Demons Collide;63;Susie Pilkington-Wood;Fingerpress;2012-07-01;Angels and demons collide in this epic new series. Last year alone, over 300 coma patients' souls went wandering. Colandra has the opposite problem: he's lost his body. Somewhere, he believes, it's locked in a coma. And the demon Lars will do everything in his power to stop Colandra taking it. But Lars is so busy with his plans of world domination that he fails to notice the troupe of angels lining up to stop him - and his own servant, Vorce, quietly gaining power to achieve his own plan - to take over the universe. Meanwhile Colandra's spirit is reintroduced to his soulmate Michelle from a previous life, and together they resolve to thwart Lars' and Vorce's plans - and in the process reunite Colandra with his body.;{Fiction};300;;en;http://books.google.com/books/content?id=eKW5wyHzrUsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
96;2hz1AwAAQBAJ;https://www.googleapis.com/books/v1/volumes/2hz1AwAAQBAJ;http://books.google.com/books?id=2hz1AwAAQBAJ&pg=PA12&dq=Angels+and+Demons&hl=&cd=21&source=gbs_api;Naming Ceremony's Art Gallery Magazine: Angels & Demons;64;Naming Ceremony Gallery;Lulu.com;;;{};;;en;http://books.google.com/books/content?id=2hz1AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
241;GxR2kyy7THUC;https://www.googleapis.com/books/v1/volumes/GxR2kyy7THUC;http://books.google.com/books?id=GxR2kyy7THUC&printsec=frontcover&dq=H.G.Wells&hl=&cd=8&source=gbs_api;H.G. Wells Under Revision;165;Patrick Parrinder;Associated University Presse;1990;Dissatisfied with her relationship with her boyfriend, Constance Wechselburger, a graduate film student, embarks on a disheartening, confusing quest in search of her vision of the ideal intellectual mate.;"{""Literary Collections""}";263;5;en;http://books.google.com/books/content?id=GxR2kyy7THUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
