id;controller;method;param1;sublink
1;Permissions;Index;"";f
2;Admin;Users;"";f
3;Admin;Add;"";f
49;Movies;Index;"";f
51;Movies;Add;"";f
52;Movies;Statistics;"";f
53;Books;Add;"";f
54;Books;Index;"";f
59;Natyres;Index;"";f
60;Natyres;Add;"";f
61;Admin;Index;"";f
63;Books;Statistics;"";f
64;Books;Authors;"";f
65;Books;Viewauthors;"";t
62;Books;View;"";t
66;Movies;Actors;"";f
67;Movies;Companies;"";f
69;Movies;Viewcompany;"";t
68;Movies;Viewactor;"";t
71;Natyres;Viewvideo;"";t
70;Natyres;Videos;"";f
72;Admin;Notifications;"";f
